Source,Sport,Player ID,Player Name,Position,Team,Stat Type,Line Score,Adjusted Odds,Implied Probability,Date,Start Time (CST),Status,League,Odds Type,Headshot URL,Data ID,Average Line,Average No-Vig Over %,Average No-Vig Under %,Percent Difference,Max No-Vig %,Bet Tag,Player Image,Game Start Time,Fav,Spread,O/U,Game Short Title,Scheduled At,Match Progress,Venue Name,Venue Type,Broadcasts,Max No-Vig % Price,True Price,Date,True Point Average Line,EST. Return Date,Injury Status,Comment,Starter,Opp,PrizePicks,Opportunities,Edge % Over,Edge % Under,Edge %,DvP Projection,DVP Rank,Opp +/-,DVP Bet,Average Projected,DVP Adjusted,Total Projection,Underdog Line,Callout Bet Tag
PrizePicks,MLB,248720,Troy Melton,P,DET,Pitcher Strikeouts,5,N/A,N/A,8/15/2026,5:46:36 AM,pre_game,MLB,standard,https://static.prizepicks.com/images/manual/Troy_Melton.png,13805920,5.50,42.36,57.64,-3.75,57.64,Under,https://www.freeiconspng.com/img/1934,2026-08-15T17:10:00Z,Yes,-1.5,7.8,White Sox @ Tigers,2026-08-15T17:10:00Z,Sat 01:10pm,Comerica Park,outdoor,,-136.000,-136.000,8/15/2026,4.660,,,,No,CWS,31.18,6.01,58.77258623,41.22741377,41.22741377,4.66,8,0.10878,over,5.18,4.768381,5.02,5.5,Push
PrizePicks,MLB,314184,Sam Antonacci,OF,CWS,Hitter Fantasy Score,10.5,TRUE,N/A,8/15/2026,5:46:36 AM,pre_game,MLB,demon,https://static.prizepicks.com/images/manual/Sam_Antonacci.png,13785557,,,,,,Under,,2026-08-15T17:10:00Z,No,1.5,7.8,White Sox @ Tigers,2026-08-15T17:10:00Z,Sat 01:10pm,Comerica Park,outdoor,,,,,5.840,,,,No,CHWDET,5.84,2.56,42.27266664,57.72733336,42.27266664,5.84,,0,,6.17,,5.78,5.33,Push
PrizePicks,MLB,191208,Dillon Dingler,C,DET,Hitter Fantasy Score,10.5,TRUE,N/A,8/15/2026,5:46:36 AM,pre_game,MLB,demon,https://static.prizepicks.com/images/players/MLB/Francis_Dingler_MLB_player_mVau03uxSwBdvCsJlJSOMSn1-450.webp,13785569,,,,,,Under,,2026-08-15T17:10:00Z,Yes,-1.5,7.8,White Sox @ Tigers,2026-08-15T17:10:00Z,Sat 01:10pm,Comerica Park,outdoor,,,,,6.590,,,,No,CWS,6.59,2.92,42.86634515,57.13365485,42.86634515,6.59,23,-0.01664,under,7.45,6.573356,6.72,6.27,Push
PrizePicks,MLB,244978,Colson Montgomery,IF,CWS,Hitter Fantasy Score,9.5,TRUE,N/A,8/15/2026,5:46:36 AM,pre_game,MLB,demon,https://static.prizepicks.com/images/players/MLB/Colson_Montgomery_MLB_player_j4GCQ0xCS1DuWlq2jQyc285-450.webp,13785530,,,,,,Under,,2026-08-15T17:10:00Z,No,1.5,7.8,White Sox @ Tigers,2026-08-15T17:10:00Z,Sat 01:10pm,Comerica Park,outdoor,,,,,4.690,,,,No,CHWDET,4.69,2.17,42.03211075,57.96788925,42.03211075,4.69,,0,,4.86,,4.78,-0.29,Push
PrizePicks,MLB,331055,Brenton Doyle,OF,CWS,Hitter Fantasy Score,8.5,TRUE,N/A,8/15/2026,5:46:36 AM,pre_game,MLB,demon,https://static.prizepicks.com/images/manual/Brenton Doyle.png,13785533,,,,,,Push,,2026-08-15T17:10:00Z,No,1.5,7.8,White Sox @ Tigers,2026-08-15T17:10:00Z,Sat 01:10pm,Comerica Park,outdoor,,,,,,,,,No,,,3.5,,,,0,,0,,7,,7,0,Push
PrizePicks,MLB,309111,Munetaka Murakami,IF,CWS,Hitter Fantasy Score,8.5,TRUE,N/A,8/15/2026,5:46:36 AM,pre_game,MLB,demon,https://static.prizepicks.com/images/manual/Munetaka_Murakami.png,13785545,,,,,,Under,,2026-08-15T17:10:00Z,No,1.5,7.8,White Sox @ Tigers,2026-08-15T17:10:00Z,Sat 01:10pm,Comerica Park,outdoor,,,,,6.710,,,,No,CHWDET,6.71,3.29,45.56595411,54.43404589,45.56595411,6.71,,0,,9.87,,7.58,6.15,Push
PrizePicks,MLB,233407,Gleyber Torres,IF,DET,Hitter Fantasy Score,8.5,TRUE,N/A,8/15/2026,5:46:36 AM,pre_game,MLB,demon,https://static.prizepicks.com/images/players/MLB/Gleyber_Torres_MLB_player_b1eZdNNzVgo5E5NtEPbqDT5E-450.webp,13785551,,,,,,Under,,2026-08-15T17:10:00Z,Yes,-1.5,7.8,White Sox @ Tigers,2026-08-15T17:10:00Z,Sat 01:10pm,Comerica Park,outdoor,,,,,5.890,,,,No,CWS,5.89,2.58,44.02691443,55.97308557,44.02691443,5.89,23,-0.01471,under,5.78,5.875294,5.91,6.08,Push
PrizePicks,MLB,328018,Eduardo Valencia,C,DET,Hitter Fantasy Score,8.5,TRUE,N/A,8/15/2026,5:46:36 AM,pre_game,MLB,demon,https://static.prizepicks.com/images/players/MLB/Eduardo_Valencia_MLB_player_sH5UT61H5j3iSgkCGi9vetcN-450.webp,13785554,,,,,,Push,,2026-08-15T17:10:00Z,Yes,-1.5,7.8,White Sox @ Tigers,2026-08-15T17:10:00Z,Sat 01:10pm,Comerica Park,outdoor,,,,,,,,,No,,,3.5,,,,0.61,,0,,14.07,,7.34,0,Push
PrizePicks,MLB,323131,Braden Montgomery,OF,CWS,Hitter Fantasy Score,8.5,TRUE,N/A,8/15/2026,5:46:36 AM,pre_game,MLB,demon,https://static.prizepicks.com/images/manual/Braden Montgomery.png,13785560,,,,,,Under,,2026-08-15T17:10:00Z,No,1.5,7.8,White Sox @ Tigers,2026-08-15T17:10:00Z,Sat 01:10pm,Comerica Park,outdoor,,,,,5.320,8/4/2026,Day-To-Day,Aug 2: The White Sox scratched Montgomery from the lineup for Sunday's game against the Rays.,No,CHWDET,5.32,2.41,43.18325944,56.81674056,43.18325944,5.32,,0,,5.25,,5.28,5.27,Push
PrizePicks,MLB,309859,Kevin McGonigle,IF,DET,Hitter Fantasy Score,8.5,TRUE,N/A,8/15/2026,5:46:36 AM,pre_game,MLB,demon,https://static.prizepicks.com/images/manual/McGonigle.png,13785563,,,,,,Under,,2026-08-15T17:10:00Z,Yes,-1.5,7.8,White Sox @ Tigers,2026-08-15T17:10:00Z,Sat 01:10pm,Comerica Park,outdoor,,,,,5.790,,,,No,CWS,5.79,2.34,43.86423467,56.13576533,43.86423467,5.79,23,-0.01334,under,5.73,5.776662,5.88,6.22,Push
