Source,Sport,Player ID,Player Name,Position,Team,Stat Type,Line Score,Adjusted Odds,Implied Probability,Date,Start Time (CST),Status,League,Odds Type,Headshot URL,Data ID,Average Line,Average No-Vig Over %,Average No-Vig Under %,Percent Difference,Max No-Vig %,Bet Tag,Player Image,Game Start Time,Fav,Spread,O/U,Game Short Title,Scheduled At,Match Progress,Venue Name,Venue Type,Broadcasts,Max No-Vig % Price,True Price,Date,True Point Average Line,EST. Return Date,Injury Status,Comment,Starter,Opp,PrizePicks,Opportunities,Edge % Over,Edge % Under,Edge %,DvP Projection,DVP Rank,Opp +/-,DVP Bet,Average Projected,DVP Adjusted,Total Projection,PrizePicks Line,Callout Bet Tag
Underdog,MLB,,Francisco Lindor,SS,,Hits + Runs + RBIs,1.5,,,7/30/2026,7/30/2026,pre_game,MLB,standard,https://assets.underdogfantasy.com/player-images/mlb/20260407_15-98d3d7c1-16bb-490c-8e03-73567efdbabf.png,,1.5,45.78,54.22,,57.81,Over,https://www.freeiconspng.com/img/1934,,Yes,-1.40,8.5,Marlins @ Mets,2026-07-30T23:10:00Z,Thu 07:10pm,Citi Field,outdoor,,-137.00,-137,7/30/2026,1.3734,,,,No,,,3.5,39.89495916,60.11,39.89495916,1.37,,0,,1.37,,1.37,0,Push
Underdog,MLB,,Francisco Lindor,SS,,Home Runs,0.5,,,7/30/2026,7/30/2026,pre_game,MLB,standard,https://assets.underdogfantasy.com/player-images/mlb/20260407_15-98d3d7c1-16bb-490c-8e03-73567efdbabf.png,,0.5,17.77,82.23,-3.98,82.23,Under,https://www.freeiconspng.com/img/1934,,Yes,-1.40,8.5,Marlins @ Mets,2026-07-30T23:10:00Z,Thu 07:10pm,Citi Field,outdoor,,-463.00,-463,7/30/2026,0.1777,,,,No,,,3.5,28.74106705,71.26,28.74106705,0.18,,0,,0.18,,0.29,0.5,Push
Underdog,MLB,,Francisco Lindor,SS,,Hitter Fantasy Score,6.5,,,7/30/2026,7/30/2026,pre_game,MLB,standard,https://assets.underdogfantasy.com/player-images/mlb/20260407_15-98d3d7c1-16bb-490c-8e03-73567efdbabf.png,,,,,,,,,,,,,Marlins @ Mets,2026-07-30T23:10:00Z,7/30/2026,Citi Field,outdoor,,,,,,,,,No,,,3.5,,,,0.00,,0,,7.59,,5.05,2.5,Push
Underdog,MLB,,Francisco Lindor,SS,,Hits,0.5,,,7/30/2026,7/30/2026,pre_game,MLB,standard,https://assets.underdogfantasy.com/player-images/mlb/20260407_15-98d3d7c1-16bb-490c-8e03-73567efdbabf.png,,0.5,59.85,40.15,1.69,59.85,Over,https://www.freeiconspng.com/img/1934,,Yes,-1.40,8.5,Marlins @ Mets,2026-07-30T23:10:00Z,Thu 07:10pm,Citi Field,outdoor,,-149.00,-149,7/30/2026,0.5985,,,,No,,,3.5,42.2617315,57.74,42.2617315,0.60,,0,,0.6,,0.57,0.5,Good Bet
Underdog,MLB,,Francisco Lindor,SS,,Runs,0.5,,,7/30/2026,7/30/2026,pre_game,MLB,standard,https://assets.underdogfantasy.com/player-images/mlb/20260407_15-98d3d7c1-16bb-490c-8e03-73567efdbabf.png,,0.5,42.26,57.74,,57.81,Over,https://www.freeiconspng.com/img/1934,,Yes,-1.40,8.5,Marlins @ Mets,2026-07-30T23:10:00Z,Thu 07:10pm,Citi Field,outdoor,,-137.00,-137,7/30/2026,0.4226,,,,No,,,3.5,36.953649,63.05,36.953649,0.42,,0,,0.42,,0.45,0.5,Push
Underdog,MLB,,Francisco Lindor,SS,,RBIs,0.5,,,7/30/2026,7/30/2026,pre_game,MLB,standard,https://assets.underdogfantasy.com/player-images/mlb/20260407_15-98d3d7c1-16bb-490c-8e03-73567efdbabf.png,,0.5,31.51,68.49,-2.52,68.49,Under,https://www.freeiconspng.com/img/1934,,Yes,-1.40,8.5,Marlins @ Mets,2026-07-30T23:10:00Z,Thu 07:10pm,Citi Field,outdoor,,-217.00,-217,7/30/2026,0.3151,,,,No,,,3.5,33.47218133,66.53,33.47218133,0.32,,0,,0.32,,0.38,0.5,Push
Underdog,MLB,,Francisco Lindor,SS,,Singles,0.5,,,7/30/2026,7/30/2026,pre_game,MLB,standard,https://assets.underdogfantasy.com/player-images/mlb/20260407_15-98d3d7c1-16bb-490c-8e03-73567efdbabf.png,,0.5,40.32,59.68,-6.42,59.68,Under,https://www.freeiconspng.com/img/1934,,Yes,-1.40,8.5,Marlins @ Mets,2026-07-30T23:10:00Z,Thu 07:10pm,Citi Field,outdoor,,-148.00,-148,7/30/2026,0.4032,,,,No,,,3.5,36.33912377,63.66,36.33912377,0.40,,0,,0.4,,0.44,0.5,Push
Underdog,MLB,,Francisco Lindor,SS,,Batter Strikeouts,0.5,,,7/30/2026,7/30/2026,pre_game,MLB,standard,https://assets.underdogfantasy.com/player-images/mlb/20260407_15-98d3d7c1-16bb-490c-8e03-73567efdbabf.png,,0.5,64.29,35.71,-4.16,64.29,Over,https://www.freeiconspng.com/img/1934,,Yes,-1.40,8.5,Marlins @ Mets,2026-07-30T23:10:00Z,Thu 07:10pm,Citi Field,outdoor,,-180.00,-180,7/30/2026,0.6429,,,,No,,,3.5,47.42345089,52.58,47.42345089,0.64,,0,,0.64,,0.64,0,Great Bet
Underdog,MLB,,Francisco Lindor,SS,,Batter Walks,0.5,,,7/30/2026,7/30/2026,pre_game,MLB,standard,https://assets.underdogfantasy.com/player-images/mlb/20260407_15-98d3d7c1-16bb-490c-8e03-73567efdbabf.png,,0.5,37.53,62.47,-5.78,62.47,Under,https://www.freeiconspng.com/img/1934,,Yes,-1.40,8.5,Marlins @ Mets,2026-07-30T23:10:00Z,Thu 07:10pm,Citi Field,outdoor,,-166.00,-166,7/30/2026,0.3753,,,,No,,,3.5,31.29168771,68.71,31.29168771,0.38,,0,,0.38,,0.38,0,Push
Underdog,MLB,,Francisco Lindor,SS,,Stolen Bases,0.5,,,7/30/2026,7/30/2026,pre_game,MLB,standard,https://assets.underdogfantasy.com/player-images/mlb/20260407_15-98d3d7c1-16bb-490c-8e03-73567efdbabf.png,,0.5,18.83,81.17,-2.16,81.17,Under,https://www.freeiconspng.com/img/1934,,Yes,-1.40,8.5,Marlins @ Mets,2026-07-30T23:10:00Z,Thu 07:10pm,Citi Field,outdoor,,-431.00,-431,7/30/2026,0.1883,,,,No,,,3.5,29.11774033,70.88,29.11774033,0.19,,0,,0.19,,0.29,0.5,Push
