Source,Sport,Player ID,Player Name,Position,Team,Stat Type,Line Score,Adjusted Odds,Implied Probability,Date,Start Time (CST),Status,League,Odds Type,Headshot URL,Data ID,Average Line,Average No-Vig Over %,Average No-Vig Under %,Percent Difference,Max No-Vig %,Bet Tag,Player Image,Game Start Time,Fav,Spread,O/U,Game Short Title,Scheduled At,Match Progress,Venue Name,Venue Type,Broadcasts,Max No-Vig % Price,True Price,Date,True Point Average Line,EST. Return Date,Injury Status,Comment,Starter,Opp,Underdog,Edge % Over,Edge % Under,Edge %,Callout Bet Tag
PrizePicks,MLB,74215,Gunnar Henderson,IF,BAL,Hitter Fantasy Score,12.5,TRUE,N/A,3/31/2026,11:11:36 AM,pre_game,MLB,demon,https://static.prizepicks.com/images/players/MLB/Third_Base_MLB_player_08g9Bx0vwnAwqOg09FdFebSQ.webp,10973969,,,,,,,,,,,,,,,,,,-104.000,-104.000,,7.880,,,,No,TEX,7.88,31.52,68.48,68.48,Strong Bet
PrizePicks,MLB,308763,Brandon Nimmo,OF,TEX,Hitter Fantasy Score,12.5,TRUE,N/A,3/31/2026,11:11:36 AM,pre_game,MLB,demon,https://static.prizepicks.com/images/manual/Brandon_Nimmo-.png,10973987,,,,,,,,,,,,,,,,,,-104.000,-104.000,,7.710,,,,No,BAL,7.71,30.84,69.16,69.16,Strong Bet
PrizePicks,MLB,192803,Wyatt Langford,OF,TEX,Hitter Fantasy Score,12.5,TRUE,N/A,3/31/2026,11:11:36 AM,pre_game,MLB,demon,https://static.prizepicks.com/images/players/MLB/Wyatt_Langford_MLB_player_txvC94BlX7zyipM2ckJV9o1M.webp,10974002,,,,,,,,,,,,,,,,,,-104.000,-104.000,,7.750,,,,No,BAL,7.75,31,69,69,Strong Bet
PrizePicks,MLB,67575,Corey Seager,IF,TEX,Hitter Fantasy Score,11.5,TRUE,N/A,3/31/2026,11:11:36 AM,pre_game,MLB,demon,https://static.prizepicks.com/images/players/MLB/Corey_Seager_MLB_player_p1vleC2hcWxZIUveI1Bxdxdu.webp,10973954,,,,,,,,,,,,,,,,,,-104.000,-104.000,,7.990,,,,No,BAL,7.99,34.73913043,65.26086957,65.26086957,Strong Bet
PrizePicks,MLB,233439,Jake Burger,IF,TEX,Hitter Fantasy Score,10.5,TRUE,N/A,3/31/2026,11:11:36 AM,pre_game,MLB,demon,https://static.prizepicks.com/images/manual/Jake Burger.png,10973984,,,,,,,,,,,,,,,,,,-104.000,-104.000,,6.200,,,,No,BAL,6.2,29.52380952,70.47619048,70.47619048,Strong Bet
PrizePicks,MLB,309056,Taylor Ward,OF,BAL,Hitter Fantasy Score,9.5,TRUE,N/A,3/31/2026,11:11:36 AM,pre_game,MLB,demon,https://static.prizepicks.com/images/manual/Taylor_Ward.png,10973957,,,,,,,,,,,,,,,,,,-104.000,-104.000,,6.680,,,,No,TEX,6.68,35.15789474,64.84210526,64.84210526,Strong Bet
PrizePicks,MLB,309055,Pete Alonso,IF,BAL,Hitter Fantasy Score,9.5,TRUE,N/A,3/31/2026,11:11:36 AM,pre_game,MLB,demon,https://static.prizepicks.com/images/manual/Pete Alonso.png,10973978,,,,,,,,,,,,,,,,,,-104.000,-104.000,,7.170,,,,No,TEX,7.17,37.73684211,62.26315789,62.26315789,Strong Bet
PrizePicks,MLB,69589,Adley Rutschman,C,BAL,Hitter Fantasy Score,8.5,TRUE,N/A,3/31/2026,11:11:36 AM,pre_game,MLB,demon,https://static.prizepicks.com/images/players/MLB/Adley_Rutschman_MLB_player_FrpcSvuB5WcgMSUgSsLYWJtu.webp,10973960,,,,,,,,,,,,,,,,,,-104.000,-104.000,,6.180,,,,No,TEX,6.18,36.35294118,63.64705882,63.64705882,Strong Bet
PrizePicks,MLB,159870,Evan Carter,OF,TEX,Hitter Fantasy Score,8.5,TRUE,N/A,3/31/2026,11:11:36 AM,pre_game,MLB,demon,https://static.prizepicks.com/images/players/MLB/Evan_Carter_MLB_player_8kpjifr4KBVsLks9WurrQbWo.webp,10973963,,,,,,,,,,,,,,,,,,-104.000,-104.000,,6.220,,,,No,BAL,6.22,36.58823529,63.41176471,63.41176471,Strong Bet
PrizePicks,MLB,68843,Josh Smith,IF,TEX,Hitter Fantasy Score,8.5,TRUE,N/A,3/31/2026,11:11:36 AM,pre_game,MLB,demon,https://static.prizepicks.com/images/players/MLB/Josh_H._Smith_MLB_player_zwCmP1g7IRp2AaWWUJS1MyAz.webp,10973993,,,,,,,,,,,,,,,,,,-104.000,-104.000,,5.900,,,,No,BAL,5.9,34.70588235,65.29411765,65.29411765,Strong Bet
PrizePicks,MLB,233779,Joc Pederson,IF,TEX,Hitter Fantasy Score,8.5,TRUE,N/A,3/31/2026,11:11:36 AM,pre_game,MLB,demon,https://static.prizepicks.com/images/players/MLB/Joc_Pederson_MLB_player_k2Y9QkvwIOUe7pkwseBrdSCU.webp,10973996,,,,,,,,,,,,,,,,,,-104.000,-104.000,,6.310,,,,No,BAL,6.31,37.11764706,62.88235294,62.88235294,Strong Bet
PrizePicks,MLB,75029,Josh Jung,IF,TEX,Hitter Fantasy Score,8.5,TRUE,N/A,3/31/2026,11:11:36 AM,pre_game,MLB,demon,https://static.prizepicks.com/images/players/MLB/Josh_Jung_MLB_player_K4z3VzbzdgukB3qB0dgRwPyT.webp,10973999,,,,,,,,,,,,,,,,,,-104.000,-104.000,,5.420,,,,No,BAL,5.42,31.88235294,68.11764706,68.11764706,Strong Bet
PrizePicks,MLB,234483,Kyle Higashioka,C,TEX,Hitter Fantasy Score,8.5,TRUE,N/A,3/31/2026,11:11:36 AM,pre_game,MLB,demon,https://static.prizepicks.com/images/players/MLB/Kyle_Higashioka_MLB_player_ExWuoBlVBzP5Zq3oi5jqDaL0.webp,10974005,,,,,,,,,,,,,,,,,,,,,,,,,No,,,0,100,100,Strong Bet
